candidate_id,date,location,summary,target_priority,source_lanes,status,linked_incident_id,notes
OCT22-001,2022-10-19,Kisan,"Masked right-wing/settler activists beat Israeli HRDs Hagar Geffen and Michal Hai during olive harvest; severe injuries and equipment theft",Israeli/civil-society,"N12; HRDF; Times of Israel; Local Call",Accepted,ILPV-2022-0087,"Same broader event also targeted Palestinian harvesters; reporting differs by one day on date"
OCT22-002,2022-10-19,Huwara/Tapuah,"Settler riot stones Palestinian vehicles then pepper-sprays four IDF soldiers including battalion commander",Israeli/civil-society,"IDF; Times of Israel; N12; Jerusalem Post",Accepted,ILPV-2022-0088,"Stored as one mixed-target riot; two soldiers explicitly injured"
OCT22-003,2022-10-13,Sheikh Jarrah,"Dozens of settlers attack Palestinian residents and vehicles during neighborhood unrest; serious injury documented",Palestinian,"Local Call; Ynet; HRDF; NAD",Accepted,ILPV-2022-0089,"Ben Gvir present; do not infer every assailant was far-right"
OCT22-004,2022-10-13,Huwara,"Large settler rampage against residents homes shops vehicles and emergency personnel",Palestinian,"Times of Israel; Local Call; NAD; OCHA",Accepted,ILPV-2022-0090,"Multiple same-day Huwara sub-events consolidated to one real-world incident"
OCT22-005,2022-10-04,Burin secondary school,"Settler stone attack injures teacher and 16-year-old student",Palestinian,"Al-Haq; NAD; international/local reporting",Accepted,ILPV-2022-0091,"School-target violence"
OCT22-006,2022-10-06,Ein al-Bayda,"Settlers attack Bedouin tents and beat 16-year-old Ayham Daraghmeh",Palestinian,"WAFA; NAD; IMEMC",Accepted,ILPV-2022-0092,"Named victim hospitalized"
OCT22-007,2022-10-11,Sinjil,"Settlers stone Ghafri family home smashing 11 windows and spray graffiti",Palestinian,"B'Tselem; OCHA",Accepted,ILPV-2022-0093,"Exact B'Tselem image exists"
OCT22-008,2022-10-11,Al-Lubban ash-Sharqiyah,"Settlers block road and stone family car injuring both parents",Palestinian,"B'Tselem; OCHA",Accepted,ILPV-2022-0094,"Exact hospital image exists"
OCT22-009,2022-10-18,Sinjil,"Armed settlers threaten olive harvesters at gunpoint and drive them off land with soldiers' help",Palestinian,"B'Tselem; OCHA",Accepted,ILPV-2022-0095,"Threat/intimidation; no physical injury required for scope"
OCT22-010,2022-10-21,Beit Hadassah/Hebron,"Teen settlers stone Palestinian home and passersby pour water and steal bicycle in front of soldiers",Palestinian,"B'Tselem",Accepted,ILPV-2022-0096,"Exact incident photo exists"
OCT22-011,2022-10-25,Turmus Ayya,"Settlers attack olive harvesters/volunteers and torch two cars",Palestinian,"B'Tselem; OCHA",Accepted,ILPV-2022-0097,"Exact witness photos exist"
OCT22-012,2022-10-29,Wadi a-Nasara/Hebron,"Settlers smash windshield of Haitham al-Ja'bari's parked car",Palestinian,"B'Tselem",Accepted,ILPV-2022-0098,"Exact incident photo exists"
OCT22-013,2022-10-30,Checkpoint 160/Hebron,"Settlers stone Palestinian car passengers and vandalize parked cars while soldiers look on",Palestinian,"B'Tselem",Accepted,ILPV-2022-0099,"Exact injury count still not established"
OCT22-014,2022-10-19,Kisan,"Palestinian olive harvesters/foreign volunteers targeted during same Kisan attack as Hagar Geffen/Michal Hai",Palestinian,"NAD; OCHA; Local Call; HRDF",Merged,ILPV-2022-0087,"Same real-world incident; do not duplicate"
OCT22-015,2022-10-13,Huwara,"Ambulance/civil-defense/shops/homes/individual pepper-spray sub-events during Huwara rampage",Palestinian,"NAD; OCHA; Local Call; Times of Israel",Merged,ILPV-2022-0090,"Sub-events merged into one continuous riot/rampage"
OCT22-016,2022-10-01,Kafr ad-Dik,"Settlers severely beat Rabah Ayoub Ali Ahmed age 62 on farmland",Palestinian,"NAD",Pending,,"Needs independent incident-level corroboration/media"
OCT22-017,2022-10-02,Jit junction,"Settlers attack Palestinian government vehicle smash windows and pepper-spray two civilian police",Palestinian,"NAD",Pending,,"High-value public-service target; corroboration needed"
OCT22-018,2022-10-03,Huwara/Yitzhar junction,"Settler assault injures three civilians and damages ambulance windows",Palestinian,"NAD; OCHA",Pending,,"Dedup against Oct 3 wider Huwara violence"
OCT22-019,2022-10-03,Surra junction,"Settlers severely beat Raed Mohsen Hassan",Palestinian,"NAD",Pending,,"Independent source/media needed"
OCT22-020,2022-10-04,Yitzhar bypass,"Settlers assault Muhammad Ibrahim Dwaikat causing bruises/hospitalization",Palestinian,"NAD",Pending,,"Independent source/media needed"
OCT22-021,2022-10-05,Jorat al-Khail/Sa'ir,"Armed settlers attack Palestinian shepherds; one injured",Palestinian,"NAD",Pending,,"Need corroboration and exact victim details"
OCT22-022,2022-10-07,Ras Karkar/Kharbatha,"Settlers attack Walid Injas and family during olive harvest injuring him and mother",Palestinian,"NAD",Pending,,"Need independent corroboration"
OCT22-023,2022-10-09,Wadi Qaddoum/Silwan,"Settler reportedly fires weapon toward Palestinian civilians",Palestinian,"NAD",Pending,,"Threat/firearm allegation needs corroboration"
OCT22-024,2022-10-10,Kafr ad-Dik/Bidya,"Settlers assault Raed Abu Seif and son Arafat during olive harvest; both hospitalized",Palestinian,"NAD; OCHA",Pending,,"Strong injury candidate; exact media/source recovery pending"
OCT22-025,2022-10-10,Tel Rumeidah/Hebron,"Settlers use stones and pepper spray; eight Palestinians affected and two hospitalized",Palestinian,"NAD",Pending,,"Need incident-level corroboration and dedup"
OCT22-026,2022-10-12,Qusra,"Settler assaults Murad Bani Odeh at chicken farm",Palestinian,"NAD",Pending,,"Independent source needed"
OCT22-027,2022-10-12,Yatma,"Settler assault on Moataz Sanubar during olive harvest",Palestinian,"NAD",Pending,,"Independent source needed"
OCT22-028,2022-10-14,Qabalan,"Settlers uproot/damage about 120 olive saplings",Palestinian,"NAD; OCHA",Pending,,"Property event; source/media recovery pending"
OCT22-029,2022-10-14,Burin,"Yitzhar-area settlers set fire to agricultural land/olive trees",Palestinian,"Al-Haq; NAD",Pending,,"Could be separate from Oct 4 school; verify exact damage"
OCT22-030,2022-10-16,Urif secondary school,"Settlers reportedly set fire to school administration room and smash windows",Palestinian,"NAD",Pending,,"High-value institution target; requires corroboration"
OCT22-031,2022-10-16,Burin junction,"Settler vehicle reportedly attempts to ram Samer Asaida; victim falls and is hospitalized",Palestinian,"NAD",Pending,,"Vehicle-attack allegation needs independent corroboration"
OCT22-032,2022-10-17,Halamish area,"Settlers reportedly severely beat seven detained Palestinians",Palestinian,"NAD",Pending,,"Circumstances/actor role need clarification"
OCT22-033,2022-10-18,Qaffin,"Armed settlers drive farmers from olive harvest and steal about 80kg olives",Palestinian,"B'Tselem; OCHA",Accepted,ILPV-2022-0103,"B'Tselem documents exact armed expulsion/theft; OCHA independently reports Qaffin harvest-produce theft"
OCT22-034,2022-10-19,Jama'in,"Settlers attack olive harvesters and steal harvesting machine/equipment",Palestinian,"NAD; OCHA",Pending,,"Need incident-level source/media"
OCT22-035,2022-10-20,Al-Mughayyir,"Settlers damage trees/vines steal produce torch car and chase residents",Palestinian,"B'Tselem; OCHA",Accepted,ILPV-2022-0102,"Exact B'Tselem incident/photo plus independent OCHA harvest-period corroboration"
OCT22-036,2022-10-20,Ni'lin,"Settler vehicle reportedly runs over Muhammad al-Khawaja causing hospitalization",Palestinian,"NAD",Pending,,"Vehicle-attack allegation needs independent corroboration"
OCT22-037,2022-10-21,Duma,"Settlers severely beat Mamoun Dawabsheh",Palestinian,"NAD",Pending,,"Independent corroboration needed"
OCT22-038,2022-10-21,Burin,"Settlers attack olive-harvesting family; crop stolen; armed settler/firearm and grenade-assistance allegations",Palestinian,"Yesh Din; Jerusalem Post; Times of Israel",Accepted,ILPV-2022-0101,"Two injured; exact Yesh Din video documented. Yesh Din summary has an internal Friday/10-22 date mismatch; contemporary reports establish Friday Oct 21"
OCT22-039,2022-10-22,Qaryut,"Armed settlers detain Palestinian farmers at gunpoint",Palestinian,"NAD",Pending,,"Threat/intimidation; independent corroboration needed"
OCT22-040,2022-10-22,Tzofim area,"Settlers severely beat Mu'tasim Qawariq",Palestinian,"NAD",Pending,,"Independent corroboration needed"
OCT22-041,2022-10-23,Huwara,"Two female students pepper-sprayed en route to university; homes also attacked same day",Palestinian,"NAD",Pending,,"Determine whether student/home attacks are one incident or separate"
OCT22-042,2022-10-25,Tel Rumeidah/Hebron,"Settlers harvest about 50 Palestinian olive trees and steal crop",Palestinian,"B'Tselem; OCHA",Pending,,"Exact incident documented; lower priority property/theft"
OCT22-043,2022-10-26,Yasuf,"Settlers disrupt olive harvest and steal produce/equipment",Palestinian,"NAD; OCHA",Pending,,"Need exact incident-level source"
OCT22-044,2022-10-27,Kafr Laqif,"Settler stone attack damages Anas Amer's vehicle",Palestinian,"NAD",Pending,,"Independent corroboration needed"
OCT22-045,2022-10-27,Haris,"Settlers stone/assault Mufeed Bushnaq and wife Lana",Palestinian,"NAD",Pending,,"Independent corroboration needed"
OCT22-046,2022-10-28,Jibya,"Settlers attack olive harvesters; Palestinian and foreign solidarity volunteer injured",Israeli/civil-society,"WAFA; ISM; NAD",Accepted,ILPV-2022-0100,"Mixed Palestinian/foreign-solidarity target. WAFA and ISM corroborate the attack; one casualty counted conservatively to avoid double counting overlapping injury descriptions"
OCT22-047,2022-10-28,Qaryut,"Settlers destroy Palestinian irrigation network",Palestinian,"NAD",Pending,,"Property event; corroboration needed"
