candidate_id,date,location,summary,status,incident_id,reason,next_step
AUG22-001,2022-08-17,Jenin-Tulkarm road near Mevo Dotan,Settlers threw stones at Palestinian vehicles,Accepted,ILPV-2022-0001,NAD incident record accepted as partially verified,Seek independent corroboration/media
AUG22-002,2022-08-18,Khallet al-Samari Jama'in,Olive branches cut and agricultural land set on fire by settlers,Accepted,ILPV-2022-0002,NAD incident record accepted as partially verified,Seek independent corroboration/media
AUG22-003,2022-08-19,Al-Sahel between Al-Mughayyir and Turmus'ayya,Farmland burned residents attacked trees cut and vehicle damaged,Accepted,ILPV-2022-0003,WAFA plus monitoring corroboration,Recover stable exact WAFA image
AUG22-004,2022-08-20,Umm al-Khair,Settlers attacked shepherds and stopped land-reclamation work,Accepted,ILPV-2022-0004,NAD plus monitoring digest; partially verified,Seek independent source/media
AUG22-005,2022-08-20,Hebron Old City near Ibrahimi Mosque,Settlers severely beat 13-year-old Hakam al-Muhtaseb breaking his leg,Accepted,ILPV-2022-0005,Named casualty and detailed monitoring; partially verified,Resolve stronger independent source/media
AUG22-006,2022-08-21,Jit junction,Settlers opened fire toward Palestinian vehicles and damaged one vehicle,Accepted,ILPV-2022-0006,NAD incident record accepted as partially verified,Seek independent source/media
AUG22-007,2022-08-22,Ras Karkar,About 60 olive trees sabotaged by settlers,Accepted,ILPV-2022-0007,POICA exact investigation plus OCHA corroboration,Seek exact image/video
AUG22-008,2022-08-24,Marda,Four vehicle tires slashed and anti-Arab hate graffiti painted,Accepted,ILPV-2022-0008,Times of Israel Ynet and WAFA corroborate; exact photo recovered,Complete
AUG22-009,2022-08-26,Kanar Dura,Dozens of armed settlers entered agricultural springs/ponds and attacked crops/property,Accepted,ILPV-2022-0009,WAFA plus local corroboration,Recover stable exact WAFA image
AUG22-010,2022-08-29,Wadi Rahal,Settlers assaulted Muhammad Yahya Ayyash while trying to force him off his land,Accepted,ILPV-2022-0010,WAFA plus NAD corroboration,Seek media
AUG22-011,2022-08-29,Tel Rumeidah Hebron,Armed settler beat 13-year-old Islam al-Tamimi,Accepted,ILPV-2022-0011,B'Tselem plus NAD corroboration,Recover stable B'Tselem exact image
AUG22-012,2022-08-31,Urif school,Settlers stormed school threw stones and forced evacuation of about 250 students,Accepted,ILPV-2022-0012,OCHA incident-level documentation,Seek original/exact media
AUG22-013,2022-08-18,Central Jerusalem,Jewish youths chased and beat two left-wing activists after political identification,Accepted,ILPV-2022-0013,Local Call victim interviews plus Nir Hasson filmed evidence,Resolve original Nir Hasson X status and preview
AUG22-014,2022-08-21,Jerusalem,Settlers attacked a Palestinian worker with batons and broken bottles,Accepted,ILPV-2022-0014,IMEMC eyewitness report plus direct MP4; partially verified,Seek second independent source; preview pipeline running
AUG22-015,2022-08-25,Jerusalem municipality building,Settlers beat Nihad Sbeih and son Aktham inside municipality building,Accepted,ILPV-2022-0015,NAD plus IMEMC eyewitness corroboration,Seek exact media
AUG22-016,2022-08-25,As-Samu',Settlers assaulted Ahmad Mousa Hawamda causing cuts and bruises,Accepted,ILPV-2022-0016,IMEMC incident report; POICA derivative; partially verified,Seek independent source/media
AUG22-017,2022-08-29,Al-Shallala Street Hebron,Beit Hadassah settlers surrounded Sidr home and smashed windows,Accepted,ILPV-2022-0017,NAD plus local eyewitness reporting,Seek exact media
AUG22-018,2022-08-30,Yitzhar Bypass Road,Yitzhar settlers stoned Palestinian vehicles and smashed three vehicle windows,Accepted,ILPV-2022-0018,PCHR plus NAD monitoring,Seek exact media
AUG22-019,2022-08-30,Kisan,Armed settlers raided village fired live bullets and attacked residents/homes,Accepted,ILPV-2022-0019,WAFA plus PCHR plus IMEMC,Seek exact media and clarify property damage
AUG22-020,2022-08-17,Qaryut,Settler bulldozers reportedly razed Palestinian land for road linking Shilo and Eli,Pending,,May be settlement/land-taking rather than violence under inclusion rules,Find incident-level source and assess scope
AUG22-021,2022-08-18,Marda-Yasuf agricultural land,Settlers reportedly set olive trees on fire,Pending,,NAD monitoring only so far,Find OCHA/WAFA/NGO corroboration and dedupe against nearby events
