candidate_id,date,location,summary,target_priority,source_lanes,status,linked_incident_id,notes
NOV22-001,2022-11-25,Hebron,"Givati soldier beats left-wing Israeli activist during Bnei Avraham solidarity visit",Israeli/civil-society,"IDF inquiry; +972; original social",Accepted,ILPV-2022-0168,"Exact Israel Frey video recovered."
NOV22-002,2022-11-25,Hebron,"Givati soldier physically confronts journalist Eli Bitan and explicitly threatens leftists",Israeli/civil-society,"Local Call; JPost/IDF inquiry; original social",Accepted,ILPV-2022-0169,"Exact Israel Frey video recovered; institutional actor not assigned partisan affiliation."
NOV22-003,2022-11-19,Hebron,"Jewish Israeli rioter headbutts and strikes female IDF soldier with stick",Israeli/civil-society,"N12; Times of Israel; police arrest",Accepted,ILPV-2022-0170,"Attack verified; suspect politics unresolved and not inferred."
NOV22-004,2022-11-30,Online / Israel,"Right-wing activists send threats to Lt. Col. Aviran Alfasi after he disciplines Hebron soldier",Israeli/civil-society,"JPost; Times of Israel",Accepted,ILPV-2022-0171,"Direct phone and social-media threats explicitly reported; politician criticism not counted."
NOV22-005,2022-11-16,Hebron,"Soldier calls Breaking the Silence activist traitor/neo-Nazi and wishes cancer",Israeli/civil-society,"Times of Israel; Israeli press",Rejected,,"Abusive political speech but no credible threat or qualifying violence under scope threshold."
NOV22-006,2022-11-18,South Tel Aviv,"Shefi Paz alleges assault by left-wing activists outside Elifelet event; counter-complaint also reported",Israeli/civil-society,"Makor Rishon; Channel 14; police complaint reporting",Unresolved,,"Competing assault allegations and partisan sourcing; neutral/police resolution not recovered."
NOV22-007,2022-11-03,National / political speech,"Anti-LGBT policy statements by incoming coalition figures",LGBTQ/civil-society,"Times of Israel liveblog",Rejected,,"Policy rhetoric alone is not a qualifying violence/threat incident."
NOV22-008,2022-11,Israel,"Annual anti-LGBT harassment report documents high volume of incidents without November event-level dates",LGBTQ/civil-society,"Jerusalem Post; LGBTQ NGO annual report",Rejected,,"Aggregate evidence retained as discovery context; cannot create event-level incident row."
NOV22-009,2022-11-03,Ash-Shuyukh,"Settlers attack Halayqa family during olive harvest; multiple serious injuries and theft/damage",Palestinian target,"Times of Israel; B'Tselem; OCHA; Yesh Din; original social",Accepted,ILPV-2022-0172,"Exact B'Tselem video recovered."
NOV22-010,2022-11-05,Kafr ad-Dik,"About 40 settlers assault and stone three olive harvesters including 13-year-old and steal crops/machine",Palestinian target,OCHA,Accepted,ILPV-2022-0173,"Detailed UN incident record; partially verified pending independent exact source."
NOV22-011,2022-11-06,Kafr ad-Dik,"Brukhin settlers steal 19 sacks of olives and harvesting/metalworking equipment",Palestinian target,"NAD; Palinfo",Pending,,"Distinct theft incident one day after Nov 5 assault."
NOV22-012,2022-11-06,Adora / Hebron District,"Settlers reportedly damage Palestinian irrigation/property",Palestinian target,"NAD; local monitoring",Pending,,"Needs exact unitization and independent corroboration."
